Accession	ID	Type	Description
RF00031	SECIS_1	Cis-reg	Selenocysteine insertion sequence 1
RF00032	Histone3	Cis-reg	Histone 3' UTR stem-loop
RF00036	RRE	Cis-reg	HIV Rev response element
RF00037	IRE_I	Cis-reg	Iron response element I
RF00038	PrfA	Cis-reg; thermoregulator	PrfA thermoregulator UTR
RF00040	rne5	Cis-reg	RNase E 5' UTR element
RF00041	Entero_OriR	Cis-reg	Enteroviral 3' UTR element
RF00048	Entero_CRE	Cis-reg	Enterovirus cis-acting replication element
RF00050	FMN	Cis-reg; riboswitch	FMN riboswitch (RFN element)
RF00059	TPP	Cis-reg; riboswitch	TPP riboswitch (THI element)
RF00061	IRES_HCV	Cis-reg; IRES	Hepatitis C virus internal ribosome entry site
RF00080	yybP-ykoY	Cis-reg; riboswitch	yybP-ykoY manganese riboswitch
RF00109	Vimentin3	Cis-reg	Vimentin 3' UTR protein-binding region
RF00114	S15	Cis-reg; leader	Ribosomal S15 leader
RF00140	Alpha_RBS	Cis-reg	Alpha operon ribosome binding site
RF00161	nos_TCE	Cis-reg	Nanos 3' UTR translation control element
RF00162	SAM	Cis-reg; riboswitch	SAM riboswitch (S box leader)
RF00164	s2m	Cis-reg	Coronavirus 3' stem-loop II-like motif (s2m)
RF00165	Corona_pk3	Cis-reg	Coronavirus 3' UTR pseudoknot
RF00167	Purine	Cis-reg; riboswitch	Purine riboswitch
RF00168	Lysine	Cis-reg; riboswitch	Lysine riboswitch
RF00171	Tombus_5	Cis-reg	Tombusvirus 5' UTR
RF00172	CAESAR	Cis-reg	ctgf/hcs24 CAESAR
RF00174	Cobalamin	Cis-reg; riboswitch	Cobalamin riboswitch
RF00175	HIV-1_DIS	Cis-reg	Human immunodeficiency virus type 1 dimerisation initiation site
RF00176	Tombus_3_IV	Cis-reg	Tombusvirus 3' UTR region IV
RF00179	GAIT	Cis-reg	GAIT element
RF00180	REN-SRE	Cis-reg	Renin stability regulatory element (REN-SRE)
RF00182	Corona_package	Cis-reg	Coronavirus packaging signal
RF00183	G-CSF_SLDE	Cis-reg	G-CSF factor stem-loop destabilising element (SLDE)
RF00184	PVX_3	Cis-reg	Potato virus X cis-acting regulatory element
RF00185	Flavi_CRE	Cis-reg	Flavivirus 3' UTR cis-acting replication element (CRE)
RF00192	BLV_package	Cis-reg	Bovine leukaemia virus RNA packaging signal
RF00193	CTV_rep_sig	Cis-reg	Citrus tristeza virus replication signal
RF00194	Rubella_3	Cis-reg	Rubella virus 3' cis-acting element
RF00196	AMV_RNA1_SL	Cis-reg	Alfalfa mosaic virus RNA 1 5' UTR stem-loop
RF00207	K10_TLS	Cis-reg	K10 transport/localisation element (TLS)
RF00209	IRES_Pesti	Cis-reg; IRES	Pestivirus internal ribosome entry site (IRES)
RF00210	IRES_Picorna_2	Cis-reg; IRES	Aphthovirus internal ribosome entry site (IRES)
RF00214	Retro_dr1	Cis-reg	Retrovirus direct repeat 1 (dr1)
RF00215	Tombus_3_III	Cis-reg	Tombus virus defective interfering (DI) RNA region 3
RF00216	IRES_c-myc	Cis-reg; IRES	c-myc internal ribosome entry site (IRES)
RF00220	Rhino_CRE	Cis-reg	Human rhinovirus internal cis-acting regulatory element (CRE)
RF00222	IRES_Bag1	Cis-reg; IRES	Bag-1 internal ribosome entry site (IRES)
RF00223	IRES_Bip	Cis-reg; IRES	bip internal ribosome entry site (IRES)
RF00224	IRES_FGF2	Cis-reg; IRES	FGF-2 internal ribosome entry site (IRES)
RF00225	IRES_Tobamo	Cis-reg; IRES	Tobamovirus internal ribosome entry site (IRES)
RF00226	IRES_n-myc	Cis-reg; IRES	n-myc internal ribosome entry site (IRES)
RF00227	FIE3	Cis-reg	FIE3 (ftz instability element 3') element
RF00228	IRES_HepA	Cis-reg; IRES	Hepatitis A virus internal ribosome entry site (IRES)
RF00229	IRES_Picorna	Cis-reg; IRES	Picornavirus internal ribosome entry site (IRES)
RF00230	T-box	Cis-reg; leader	T-box leader
RF00232	Spi-1	Cis-reg	Spi-1 (PU.1) 5' UTR regulatory element
RF00233	Tymo_tRNA-like	Cis-reg	Tymovirus/Pomovirus/Furovirus tRNA-like 3' UTR element
RF00234	glmS	Cis-reg; riboswitch	glmS glucosamine-6-phosphate activated ribozyme
RF00243	traJ_5	Cis-reg	traJ 5' UTR
RF00252	Alfamo_CPB	Cis-reg	Alfalfa mosaic virus coat protein binding (CPB) RNA
RF00259	IFN_gamma	Cis-reg	Interferon gamma 5' UTR regulatory element
RF00260	HepC_CRE	Cis-reg	Hepatitis C virus (HCV) cis-acting replication element (CRE)
RF00261	IRES_L-myc	Cis-reg; IRES	L-myc internal ribosome entry site (IRES)
RF00290	BaMV_CRE	Cis-reg	Bamboo mosaic potexvirus (BaMV) cis-regulatory element
RF00362	Pospi_RY	Cis-reg	Pospiviroid RY motif stem loop
